Subject Bloc Emo Cond Treat Perf
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 1
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neg go OF 0
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neuneg go OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 1
BON unpleasant neg nogo OF 0
BON unpleasant neg nogo OF 0
BON unpleasant neg nogo OF 0
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 1
BON unpleasant neuneg nogo OF 0
BON unpleasant neuneg nogo OF 0
BON unpleasant neuneg nogo OF 0
BON unpleasant neuneg nogo OF 0
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 1
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant pos go OF 0
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 1
BON pleasant neupos go OF 0
BON pleasant neupos go OF 0
BON pleasant neupos go OF 0
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 1
BON pleasant pos nogo OF 0
BON pleasant pos nogo OF 0
BON pleasant pos nogo OF 0
BON pleasant pos nogo OF 0
BON pleasant pos nogo OF 0
BON pleasant pos nogo OF 0
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 1
BON pleasant neupos nogo OF 0
BON pleasant neupos nogo OF 0
BON pleasant neupos nogo OF 0
BON pleasant neupos nogo OF 0
BON pleasant neupos nogo OF 0
BON pleasant neupos nogo OF 0
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 1
CAM unpleasant neg go OF 0
CAM unpleasant neg go OF 0
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neuneg go OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM unpleasant neuneg nogo OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant pos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant neupos go OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 1
CAM pleasant pos nogo OF 0
CAM pleasant pos nogo OF 0
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 1
CAM pleasant neupos nogo OF 0
CAM pleasant neupos nogo OF 0
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 1
CAM unpleasant neg go ON 0
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neuneg go ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 1
CAM unpleasant neg nogo ON 0
CAM unpleasant neg nogo ON 0
CAM unpleasant neg nogo ON 0
CAM unpleasant neg nogo ON 0
CAM unpleasant neg nogo ON 0
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 1
CAM unpleasant neuneg nogo ON 0
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 1
CAM pleasant pos go ON 0
CAM pleasant pos go ON 0
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 1
CAM pleasant neupos go ON 0
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 1
CAM pleasant pos nogo ON 0
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAM pleasant neupos nogo ON 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 0
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
